Name,Type,Species,Height,Weight,Abilities,Catch rate,Base Friendship,Base Exp.,Growth Rate,Gender,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed
Pachirisu,Electric,EleSquirrel Pokémon,0.4 m (1′04″),3.9 kg (8.6 lbs),1. Run Away2. PickupVolt Absorb (hidden ability),"200 (26.1% with PokéBall, full HP)",100 (higher than normal),142,Medium Fast,"50% male, 50% female",60,45,70,45,90,95
Buizel,Water,Sea Weasel Pokémon,0.7 m (2′04″),29.5 kg (65.0 lbs),1. Swift SwimWater Veil (hidden ability),"190 (24.8% with PokéBall, full HP)",50 (normal),66,Medium Fast,"50% male, 50% female",55,65,35,60,30,85
Floatzel,Water,Sea Weasel Pokémon,1.1 m (3′07″),33.5 kg (73.9 lbs),1. Swift SwimWater Veil (hidden ability),"75 (9.8% with PokéBall, full HP)",50 (normal),173,Medium Fast,"50% male, 50% female",85,105,55,85,50,115
Cherubi,Grass,Cherry Pokémon,0.4 m (1′04″),3.3 kg (7.3 lbs),1. Chlorophyll,"190 (24.8% with PokéBall, full HP)",50 (normal),55,Medium Fast,"50% male, 50% female",45,35,45,62,53,35
Cherrim,Grass,Blossom Pokémon,0.5 m (1′08″),9.3 kg (20.5 lbs),1. Flower Gift,"75 (9.8% with PokéBall, full HP)",50 (normal),158,Medium Fast,"50% male, 50% female",70,60,70,87,78,85
Shellos,Water,Sea Slug Pokémon,0.3 m (1′00″),6.3 kg (13.9 lbs),1. Sticky Hold2. Storm DrainSand Force (hidden ability),"190 (24.8% with PokéBall, full HP)",50 (normal),65,Medium Fast,"50% male, 50% female",76,48,48,57,62,34
Gastrodon,Water Ground,Sea Slug Pokémon,0.9 m (2′11″),29.9 kg (65.9 lbs),1. Sticky Hold2. Storm DrainSand Force (hidden ability),"75 (9.8% with PokéBall, full HP)",50 (normal),166,Medium Fast,"50% male, 50% female",111,83,68,92,82,39
Ambipom,Normal,Long Tail Pokémon,1.2 m (3′11″),20.3 kg (44.8 lbs),1. Technician2. PickupSkill Link (hidden ability),"45 (5.9% with PokéBall, full HP)",100 (higher than normal),169,Fast,"50% male, 50% female",75,100,66,60,66,115
Drifloon,Ghost Flying,Balloon Pokémon,0.4 m (1′04″),1.2 kg (2.6 lbs),1. Aftermath2. UnburdenFlare Boost (hidden ability),"125 (16.3% with PokéBall, full HP)",50 (normal),70,Fluctuating,"50% male, 50% female",90,50,34,60,44,70
Drifblim,Ghost Flying,Blimp Pokémon,1.2 m (3′11″),15.0 kg (33.1 lbs),1. Aftermath2. UnburdenFlare Boost (hidden ability),"60 (7.8% with PokéBall, full HP)",50 (normal),174,Fluctuating,"50% male, 50% female",150,80,44,90,54,80
Buneary,Normal,Rabbit Pokémon,0.4 m (1′04″),5.5 kg (12.1 lbs),1. Run Away2. KlutzLimber (hidden ability),"190 (24.8% with PokéBall, full HP)",0 (lower than normal),70,Medium Fast,"50% male, 50% female",55,66,44,44,56,85
Lopunny,Normal Fighting,Rabbit Pokémon,1.3 m (4′03″),28.3 kg (62.4 lbs),Scrappy,"60 (7.8% with PokéBall, full HP)",140 (higher than normal),203,Medium Fast,"50% male, 50% female",65,136,94,54,96,135
Mismagius,Ghost,Magical Pokémon,0.9 m (2′11″),4.4 kg (9.7 lbs),1. Levitate,"45 (5.9% with PokéBall, full HP)",35 (lower than normal),173,Fast,"50% male, 50% female",60,60,60,105,105,105
Honchkrow,Dark Flying,Big Boss Pokémon,0.9 m (2′11″),27.3 kg (60.2 lbs),1. Insomnia2. Super LuckMoxie (hidden ability),"30 (3.9% with PokéBall, full HP)",35 (lower than normal),177,Medium Slow,"50% male, 50% female",100,125,52,105,52,71
Glameow,Normal,Catty Pokémon,0.5 m (1′08″),3.9 kg (8.6 lbs),1. Limber2. Own TempoKeen Eye (hidden ability),"190 (24.8% with PokéBall, full HP)",50 (normal),62,Fast,"25% male, 75% female",49,55,42,42,37,85
Purugly,Normal,Tiger Cat Pokémon,1.0 m (3′03″),43.8 kg (96.6 lbs),1. Thick Fat2. Own TempoDefiant (hidden ability),"75 (9.8% with PokéBall, full HP)",50 (normal),158,Fast,"25% male, 75% female",71,82,64,64,59,112
Chingling,Psychic,Bell Pokémon,0.2 m (0′08″),0.6 kg (1.3 lbs),1. Levitate,"120 (15.7% with PokéBall, full HP)",50 (normal),57,Fast,"50% male, 50% female",45,30,50,65,50,45
Stunky,Poison Dark,Skunk Pokémon,0.4 m (1′04″),19.2 kg (42.3 lbs),1. Stench2. AftermathKeen Eye (hidden ability),"225 (29.4% with PokéBall, full HP)",50 (normal),66,Medium Fast,"50% male, 50% female",63,63,47,41,41,74
Skuntank,Poison Dark,Skunk Pokémon,1.0 m (3′03″),38.0 kg (83.8 lbs),1. Stench2. AftermathKeen Eye (hidden ability),"60 (7.8% with PokéBall, full HP)",50 (normal),168,Medium Fast,"50% male, 50% female",103,93,67,71,61,84
Bronzor,Steel Psychic,Bronze Pokémon,0.5 m (1′08″),60.5 kg (133.4 lbs),1. Levitate2. HeatproofHeavy Metal (hidden ability),"255 (33.3% with PokéBall, full HP)",50 (normal),60,Medium Fast,Genderless,57,24,86,24,86,23
Bronzong,Steel Psychic,Bronze Bell Pokémon,1.3 m (4′03″),187.0 kg (412.3 lbs),1. Levitate2. HeatproofHeavy Metal (hidden ability),"90 (11.8% with PokéBall, full HP)",50 (normal),175,Medium Fast,Genderless,67,89,116,79,116,33
Bonsly,Rock,Bonsai Pokémon,0.5 m (1′08″),15.0 kg (33.1 lbs),1. Sturdy2. Rock HeadRattled (hidden ability),"255 (33.3% with PokéBall, full HP)",50 (normal),58,Medium Fast,"50% male, 50% female",50,80,95,10,45,10
Happiny,Normal,Playhouse Pokémon,0.6 m (2′00″),24.4 kg (53.8 lbs),1. Natural Cure2. Serene GraceFriend Guard (hidden ability),"130 (17.0% with PokéBall, full HP)",140 (higher than normal),110,Fast,"0% male, 100% female",100,5,5,15,65,30
Chatot,Normal Flying,Music Note Pokémon,0.5 m (1′08″),1.9 kg (4.2 lbs),1. Keen Eye2. Tangled FeetBig Pecks (hidden ability),"30 (3.9% with PokéBall, full HP)",35 (lower than normal),144,Medium Slow,"50% male, 50% female",76,65,45,92,42,91
Spiritomb,Ghost Dark,Forbidden Pokémon,1.0 m (3′03″),108.0 kg (238.1 lbs),1. PressureInfiltrator (hidden ability),"100 (13.1% with PokéBall, full HP)",50 (normal),170,Medium Fast,"50% male, 50% female",50,92,108,92,108,35
Gible,Dragon Ground,Land Shark Pokémon,0.7 m (2′04″),20.5 kg (45.2 lbs),1. Sand VeilRough Skin (hidden ability),"45 (5.9% with PokéBall, full HP)",50 (normal),60,Slow,"50% male, 50% female",58,70,45,40,45,42
Gabite,Dragon Ground,Cave Pokémon,1.4 m (4′07″),56.0 kg (123.5 lbs),1. Sand VeilRough Skin (hidden ability),"45 (5.9% with PokéBall, full HP)",50 (normal),144,Slow,"50% male, 50% female",68,90,65,50,55,82
Garchomp,Dragon Ground,Mach Pokémon,1.9 m (6′03″),95.0 kg (209.4 lbs),Sand Force,"45 (5.9% with PokéBall, full HP)",50 (normal),315,Slow,"50% male, 50% female",108,170,115,120,95,92
Munchlax,Normal,Big Eater Pokémon,0.6 m (2′00″),105.0 kg (231.5 lbs),1. Pickup2. Thick FatGluttony (hidden ability),"50 (6.5% with PokéBall, full HP)",50 (normal),78,Slow,"87.5% male, 12.5% female",135,85,40,40,85,5
Riolu,Fighting,Emanation Pokémon,0.7 m (2′04″),20.2 kg (44.5 lbs),1. Steadfast2. Inner FocusPrankster (hidden ability),"75 (9.8% with PokéBall, full HP)",50 (normal),57,Medium Slow,"87.5% male, 12.5% female",40,70,40,35,40,60
Lucario,Fighting Steel,Aura Pokémon,1.3 m (4′03″),57.5 kg (126.8 lbs),Adaptability,"45 (5.9% with PokéBall, full HP)",50 (normal),219,Medium Slow,"87.5% male, 12.5% female",70,145,88,140,70,112
Hippopotas,Ground,Hippo Pokémon,0.8 m (2′07″),49.5 kg (109.1 lbs),1. Sand StreamSand Force (hidden ability),"140 (18.3% with PokéBall, full HP)",50 (normal),66,Slow,"50% male, 50% female",68,72,78,38,42,32
Hippowdon,Ground,Heavyweight Pokémon,2.0 m (6′07″),300.0 kg (661.4 lbs),1. Sand StreamSand Force (hidden ability),"60 (7.8% with PokéBall, full HP)",50 (normal),184,Slow,"50% male, 50% female",108,112,118,68,72,47
Skorupi,Poison Bug,Scorpion Pokémon,0.8 m (2′07″),12.0 kg (26.5 lbs),1. Battle Armor2. SniperKeen Eye (hidden ability),"120 (15.7% with PokéBall, full HP)",50 (normal),66,Slow,"50% male, 50% female",40,50,90,30,55,65
Drapion,Poison Dark,Ogre Scorp Pokémon,1.3 m (4′03″),61.5 kg (135.6 lbs),1. Battle Armor2. SniperKeen Eye (hidden ability),"45 (5.9% with PokéBall, full HP)",50 (normal),175,Slow,"50% male, 50% female",70,90,110,60,75,95
Croagunk,Poison Fighting,Toxic Mouth Pokémon,0.7 m (2′04″),23.0 kg (50.7 lbs),1. Anticipation2. Dry SkinPoison Touch (hidden ability),"140 (18.3% with PokéBall, full HP)",100 (higher than normal),60,Medium Fast,"50% male, 50% female",48,61,40,61,40,50
Toxicroak,Poison Fighting,Toxic Mouth Pokémon,1.3 m (4′03″),44.4 kg (97.9 lbs),1. Anticipation2. Dry SkinPoison Touch (hidden ability),"75 (9.8% with PokéBall, full HP)",50 (normal),172,Medium Fast,"50% male, 50% female",83,106,65,86,65,85
Carnivine,Grass,Bug Catcher Pokémon,1.4 m (4′07″),27.0 kg (59.5 lbs),1. Levitate,"200 (26.1% with PokéBall, full HP)",50 (normal),159,Slow,"50% male, 50% female",74,100,72,90,72,46
Finneon,Water,Wing Fish Pokémon,0.4 m (1′04″),7.0 kg (15.4 lbs),1. Swift Swim2. Storm DrainWater Veil (hidden ability),"190 (24.8% with PokéBall, full HP)",50 (normal),66,Erratic,"50% male, 50% female",49,49,56,49,61,66
Lumineon,Water,Neon Pokémon,1.2 m (3′11″),24.0 kg (52.9 lbs),1. Swift Swim2. Storm DrainWater Veil (hidden ability),"75 (9.8% with PokéBall, full HP)",50 (normal),161,Erratic,"50% male, 50% female",69,69,76,69,86,91
Mantyke,Water Flying,Kite Pokémon,1.0 m (3′03″),65.0 kg (143.3 lbs),1. Swift Swim2. Water AbsorbWater Veil (hidden ability),"25 (3.3% with PokéBall, full HP)",50 (normal),69,Slow,"50% male, 50% female",45,20,50,60,120,50
Snover,Grass Ice,Frost Tree Pokémon,1.0 m (3′03″),50.5 kg (111.3 lbs),1. Snow WarningSoundproof (hidden ability),"120 (15.7% with PokéBall, full HP)",50 (normal),67,Slow,"50% male, 50% female",60,62,50,62,60,40
Abomasnow,Grass Ice,Frost Tree Pokémon,2.7 m (8′10″),185.0 kg (407.9 lbs),Snow Warning,"60 (7.8% with PokéBall, full HP)",50 (normal),208,Slow,"50% male, 50% female",90,132,105,132,105,30
Weavile,Dark Ice,Sharp Claw Pokémon,1.1 m (3′07″),34.0 kg (75.0 lbs),1. PressurePickpocket (hidden ability),"45 (5.9% with PokéBall, full HP)",35 (lower than normal),179,Medium Slow,"50% male, 50% female",70,120,65,45,85,125
Magnezone,Electric Steel,Magnet Area Pokémon,1.2 m (3′11″),180.0 kg (396.8 lbs),1. Magnet Pull2. SturdyAnalytic (hidden ability),"30 (3.9% with PokéBall, full HP)",50 (normal),268,Medium Fast,Genderless,70,70,115,130,90,60
Lickilicky,Normal,Licking Pokémon,1.7 m (5′07″),140.0 kg (308.6 lbs),1. Own Tempo2. ObliviousCloud Nine (hidden ability),"30 (3.9% with PokéBall, full HP)",50 (normal),180,Medium Fast,"50% male, 50% female",110,85,95,80,95,50
Rhyperior,Ground Rock,Drill Pokémon,2.4 m (7′10″),282.8 kg (623.5 lbs),1. Lightning Rod2. Solid RockReckless (hidden ability),"30 (3.9% with PokéBall, full HP)",50 (normal),241,Slow,"50% male, 50% female",115,140,130,55,55,40
Tangrowth,Grass,Vine Pokémon,2.0 m (6′07″),128.6 kg (283.5 lbs),1. Chlorophyll2. Leaf GuardRegenerator (hidden ability),"30 (3.9% with PokéBall, full HP)",50 (normal),187,Medium Fast,"50% male, 50% female",100,100,125,110,50,50
Electivire,Electric,Thunderbolt Pokémon,1.8 m (5′11″),138.6 kg (305.6 lbs),1. Motor DriveVital Spirit (hidden ability),"30 (3.9% with PokéBall, full HP)",50 (normal),243,Medium Fast,"75% male, 25% female",75,123,67,95,85,95
Magmortar,Fire,Blast Pokémon,1.6 m (5′03″),68.0 kg (149.9 lbs),1. Flame BodyVital Spirit (hidden ability),"30 (3.9% with PokéBall, full HP)",50 (normal),243,Medium Fast,"75% male, 25% female",75,95,67,125,95,83
Togekiss,Fairy Flying,Jubilee Pokémon,1.5 m (4′11″),38.0 kg (83.8 lbs),1. Hustle2. Serene GraceSuper Luck (hidden ability),"30 (3.9% with PokéBall, full HP)",50 (normal),245,Fast,"87.5% male, 12.5% female",85,50,95,120,115,80
Yanmega,Bug Flying,Ogre Darner Pokémon,1.9 m (6′03″),51.5 kg (113.5 lbs),1. Speed Boost2. Tinted LensFrisk (hidden ability),"30 (3.9% with PokéBall, full HP)",50 (normal),180,Medium Fast,"50% male, 50% female",86,76,86,116,56,95
Leafeon,Grass,Verdant Pokémon,1.0 m (3′03″),25.5 kg (56.2 lbs),1. Leaf GuardChlorophyll (hidden ability),"45 (5.9% with PokéBall, full HP)",35 (lower than normal),184,Medium Fast,"87.5% male, 12.5% female",65,110,130,60,65,95
Glaceon,Ice,Fresh Snow Pokémon,0.8 m (2′07″),25.9 kg (57.1 lbs),1. Snow CloakIce Body (hidden ability),"45 (5.9% with PokéBall, full HP)",35 (lower than normal),184,Medium Fast,"87.5% male, 12.5% female",65,60,110,130,95,65
Gliscor,Ground Flying,Fang Scorp Pokémon,2.0 m (6′07″),42.5 kg (93.7 lbs),1. Hyper Cutter2. Sand VeilPoison Heal (hidden ability),"30 (3.9% with PokéBall, full HP)",50 (normal),179,Medium Slow,"50% male, 50% female",75,95,125,45,75,95
Mamoswine,Ice Ground,Twin Tusk Pokémon,2.5 m (8′02″),291.0 kg (641.5 lbs),1. Oblivious2. Snow CloakThick Fat (hidden ability),"50 (6.5% with PokéBall, full HP)",50 (normal),239,Slow,"50% male, 50% female",110,130,80,70,60,80
Porygon-Z,Normal,Virtual Pokémon,0.9 m (2′11″),34.0 kg (75.0 lbs),1. Adaptability2. DownloadAnalytic (hidden ability),"30 (3.9% with PokéBall, full HP)",50 (normal),241,Medium Fast,Genderless,85,80,70,135,75,90
Gallade,Psychic Fighting,Blade Pokémon,1.6 m (5′03″),56.4 kg (124.3 lbs),Inner Focus,"45 (5.9% with PokéBall, full HP)",35 (lower than normal),278,Slow,"100% male, 0% female",68,165,95,65,115,110
Probopass,Rock Steel,Compass Pokémon,1.4 m (4′07″),340.0 kg (749.6 lbs),1. Sturdy2. Magnet PullSand Force (hidden ability),"60 (7.8% with PokéBall, full HP)",50 (normal),184,Medium Fast,"50% male, 50% female",60,55,145,75,150,40
Dusknoir,Ghost,Gripper Pokémon,2.2 m (7′03″),106.6 kg (235.0 lbs),1. PressureFrisk (hidden ability),"45 (5.9% with PokéBall, full HP)",35 (lower than normal),236,Fast,"50% male, 50% female",45,100,135,65,135,45
Froslass,Ice Ghost,Snow Land Pokémon,1.3 m (4′03″),26.6 kg (58.6 lbs),1. Snow CloakCursed Body (hidden ability),"75 (9.8% with PokéBall, full HP)",50 (normal),168,Medium Fast,"0% male, 100% female",70,80,70,80,70,110
Rotom,Electric Grass,Plasma Pokémon,0.3 m (1′00″),0.3 kg (0.7 lbs),Levitate,"45 (5.9% with PokéBall, full HP)",50 (normal),182,Medium Fast,Genderless,50,65,107,105,107,86
Uxie,Psychic,Knowledge Pokémon,0.3 m (1′00″),0.3 kg (0.7 lbs),1. Levitate,"3 (0.4% with PokéBall, full HP)",140 (higher than normal),290,Slow,Genderless,75,75,130,75,130,95
Mesprit,Psychic,Emotion Pokémon,0.3 m (1′00″),0.3 kg (0.7 lbs),1. Levitate,"3 (0.4% with PokéBall, full HP)",140 (higher than normal),290,Slow,Genderless,80,105,105,105,105,80
Azelf,Psychic,Willpower Pokémon,0.3 m (1′00″),0.3 kg (0.7 lbs),1. Levitate,"3 (0.4% with PokéBall, full HP)",140 (higher than normal),290,Slow,Genderless,75,125,70,125,70,115
Dialga,Steel Dragon,Temporal Pokémon,7.0 m (23′00″),850.0 kg (1873.9 lbs),Pressure Telepathy,"3 (0.4% with PokéBall, full HP)",0 (lower than normal),340,Slow,Genderless,100,100,120,150,120,90
Palkia,Water Dragon,Spatial Pokémon,6.3 m (20′08″),660.0 kg (1455.0 lbs),Pressure Telepathy,"3 (0.4% with PokéBall, full HP)",0 (lower than normal),340,Slow,Genderless,90,100,100,150,120,120
Heatran,Fire Steel,Lava Dome Pokémon,1.7 m (5′07″),430.0 kg (948.0 lbs),1. Flash FireFlame Body (hidden ability),"3 (0.4% with PokéBall, full HP)",100 (higher than normal),300,Slow,"50% male, 50% female",91,90,106,130,106,77
Regigigas,Normal,Colossal Pokémon,3.7 m (12′02″),420.0 kg (925.9 lbs),1. Slow Start,"3 (0.4% with PokéBall, full HP)",0 (lower than normal),302,Slow,Genderless,110,160,110,80,110,100
Giratina,Ghost Dragon,Renegade Pokémon,6.9 m (22′08″),650.0 kg (1433.0 lbs),Levitate,"3 (0.4% with PokéBall, full HP)",0 (lower than normal),340,Slow,Genderless,150,120,100,120,100,90
Cresselia,Psychic,Lunar Pokémon,1.5 m (4′11″),85.6 kg (188.7 lbs),1. Levitate,"3 (0.4% with PokéBall, full HP)",100 (higher than normal),290,Slow,"0% male, 100% female",120,70,110,75,120,85
Phione,Water,Sea Drifter Pokémon,0.4 m (1′04″),3.1 kg (6.8 lbs),1. Hydration,"30 (3.9% with PokéBall, full HP)",50 (normal),216,Slow,Genderless,80,80,80,80,80,80
Manaphy,Water,Seafaring Pokémon,0.3 m (1′00″),1.4 kg (3.1 lbs),1. Hydration,"3 (0.4% with PokéBall, full HP)",50 (normal),270,Slow,Genderless,100,100,100,100,100,100
Darkrai,Dark,Pitch-Black Pokémon,1.5 m (4′11″),50.5 kg (111.3 lbs),1. Bad Dreams,"3 (0.4% with PokéBall, full HP)",0 (lower than normal),270,Slow,Genderless,70,90,90,135,90,125
Shaymin,Grass Flying,Gratitude Pokémon,0.4 m (1′04″),5.2 kg (11.5 lbs),Serene Grace,"45 (5.9% with PokéBall, full HP)",100 (higher than normal),270,Medium Slow,Genderless,100,103,75,120,75,127
Arceus,Normal,Alpha Pokémon,3.2 m (10′06″),320.0 kg (705.5 lbs),1. Multitype,"3 (0.4% with PokéBall, full HP)",0 (lower than normal),360,Slow,Genderless,120,120,120,120,120,120
Victini,Psychic Fire,Victory Pokémon,0.4 m (1′04″),4.0 kg (8.8 lbs),1. Victory Star,"3 (0.4% with PokéBall, full HP)",100 (higher than normal),270,Slow,Genderless,100,100,100,100,100,100
Snivy,Grass,Grass Snake Pokémon,0.6 m (2′00″),8.1 kg (17.9 lbs),1. OvergrowContrary (hidden ability),"45 (5.9% with PokéBall, full HP)",50 (normal),62,Medium Slow,"87.5% male, 12.5% female",45,45,55,45,55,63
Servine,Grass,Grass Snake Pokémon,0.8 m (2′07″),16.0 kg (35.3 lbs),1. OvergrowContrary (hidden ability),"45 (5.9% with PokéBall, full HP)",50 (normal),145,Medium Slow,"87.5% male, 12.5% female",60,60,75,60,75,83
Serperior,Grass,Regal Pokémon,3.3 m (10′10″),63.0 kg (138.9 lbs),1. OvergrowContrary (hidden ability),"45 (5.9% with PokéBall, full HP)",50 (normal),238,Medium Slow,"87.5% male, 12.5% female",75,75,95,75,95,113
Tepig,Fire,Fire Pig Pokémon,0.5 m (1′08″),9.9 kg (21.8 lbs),1. BlazeThick Fat (hidden ability),"45 (5.9% with PokéBall, full HP)",50 (normal),62,Medium Slow,"87.5% male, 12.5% female",65,63,45,45,45,45
Pignite,Fire Fighting,Fire Pig Pokémon,1.0 m (3′03″),55.5 kg (122.4 lbs),1. BlazeThick Fat (hidden ability),"45 (5.9% with PokéBall, full HP)",50 (normal),146,Medium Slow,"87.5% male, 12.5% female",90,93,55,70,55,55
Emboar,Fire Fighting,Mega Fire Pig Pokémon,1.6 m (5′03″),150.0 kg (330.7 lbs),1. BlazeReckless (hidden ability),"45 (5.9% with PokéBall, full HP)",50 (normal),238,Medium Slow,"87.5% male, 12.5% female",110,123,65,100,65,65
Oshawott,Water,Sea Otter Pokémon,0.5 m (1′08″),5.9 kg (13.0 lbs),1. TorrentShell Armor (hidden ability),"45 (5.9% with PokéBall, full HP)",50 (normal),62,Medium Slow,"87.5% male, 12.5% female",55,55,45,63,45,45
Dewott,Water,Discipline Pokémon,0.8 m (2′07″),24.5 kg (54.0 lbs),1. TorrentShell Armor (hidden ability),"45 (5.9% with PokéBall, full HP)",50 (normal),145,Medium Slow,"87.5% male, 12.5% female",75,75,60,83,60,60
Samurott,Water Dark,Formidable Pokémon,1.5 m (4′11″),58.2 kg (128.3 lbs),Torrent Sharpness,"45 (5.9% with PokéBall, full HP)",50 (normal),264,Medium Slow,"87.5% male, 12.5% female",90,108,80,100,65,85
Patrat,Normal,Scout Pokémon,0.5 m (1′08″),11.6 kg (25.6 lbs),1. Run Away2. Keen EyeAnalytic (hidden ability),"255 (33.3% with PokéBall, full HP)",50 (normal),51,Medium Fast,"50% male, 50% female",45,55,39,35,39,42
Watchog,Normal,Lookout Pokémon,1.1 m (3′07″),27.0 kg (59.5 lbs),1. Illuminate2. Keen EyeAnalytic (hidden ability),"255 (33.3% with PokéBall, full HP)",50 (normal),147,Medium Fast,"50% male, 50% female",60,85,69,60,69,77
Lillipup,Normal,Puppy Pokémon,0.4 m (1′04″),4.1 kg (9.0 lbs),1. Vital Spirit2. PickupRun Away (hidden ability),"255 (33.3% with PokéBall, full HP)",50 (normal),55,Medium Slow,"50% male, 50% female",45,60,45,25,45,55
Herdier,Normal,Loyal Dog Pokémon,0.9 m (2′11″),14.7 kg (32.4 lbs),1. Intimidate2. Sand RushScrappy (hidden ability),"120 (15.7% with PokéBall, full HP)",50 (normal),130,Medium Slow,"50% male, 50% female",65,80,65,35,65,60
Stoutland,Normal,Big-Hearted Pokémon,1.2 m (3′11″),61.0 kg (134.5 lbs),1. Intimidate2. Sand RushScrappy (hidden ability),"45 (5.9% with PokéBall, full HP)",50 (normal),225,Medium Slow,"50% male, 50% female",85,110,90,45,90,80
Purrloin,Dark,Devious Pokémon,0.4 m (1′04″),10.1 kg (22.3 lbs),1. Limber2. UnburdenPrankster (hidden ability),"255 (33.3% with PokéBall, full HP)",50 (normal),56,Medium Fast,"50% male, 50% female",41,50,37,50,37,66
Liepard,Dark,Cruel Pokémon,1.1 m (3′07″),37.5 kg (82.7 lbs),1. Limber2. UnburdenPrankster (hidden ability),"90 (11.8% with PokéBall, full HP)",50 (normal),156,Medium Fast,"50% male, 50% female",64,88,50,88,50,106
Pansage,Grass,Grass Monkey Pokémon,0.6 m (2′00″),10.5 kg (23.1 lbs),1. GluttonyOvergrow (hidden ability),"190 (24.8% with PokéBall, full HP)",50 (normal),63,Medium Fast,"87.5% male, 12.5% female",50,53,48,53,48,64
Simisage,Grass,Thorn Monkey Pokémon,1.1 m (3′07″),30.5 kg (67.2 lbs),1. GluttonyOvergrow (hidden ability),"75 (9.8% with PokéBall, full HP)",50 (normal),174,Medium Fast,"87.5% male, 12.5% female",75,98,63,98,63,101
Pansear,Fire,High Temp Pokémon,0.6 m (2′00″),11.0 kg (24.3 lbs),1. GluttonyBlaze (hidden ability),"190 (24.8% with PokéBall, full HP)",50 (normal),63,Medium Fast,"87.5% male, 12.5% female",50,53,48,53,48,64
Simisear,Fire,Ember Pokémon,1.0 m (3′03″),28.0 kg (61.7 lbs),1. GluttonyBlaze (hidden ability),"75 (9.8% with PokéBall, full HP)",50 (normal),174,Medium Fast,"87.5% male, 12.5% female",75,98,63,98,63,101
Panpour,Water,Spray Pokémon,0.6 m (2′00″),13.5 kg (29.8 lbs),1. GluttonyTorrent (hidden ability),"190 (24.8% with PokéBall, full HP)",50 (normal),63,Medium Fast,"87.5% male, 12.5% female",50,53,48,53,48,64
Simipour,Water,Geyser Pokémon,1.0 m (3′03″),29.0 kg (63.9 lbs),1. GluttonyTorrent (hidden ability),"75 (9.8% with PokéBall, full HP)",50 (normal),174,Medium Fast,"87.5% male, 12.5% female",75,98,63,98,63,101
Munna,Psychic,Dream Eater Pokémon,0.6 m (2′00″),23.3 kg (51.4 lbs),1. Forewarn2. SynchronizeTelepathy (hidden ability),"190 (24.8% with PokéBall, full HP)",50 (normal),58,Fast,"50% male, 50% female",76,25,45,67,55,24
Musharna,Psychic,Drowsing Pokémon,1.1 m (3′07″),60.5 kg (133.4 lbs),1. Forewarn2. SynchronizeTelepathy (hidden ability),"75 (9.8% with PokéBall, full HP)",50 (normal),170,Fast,"50% male, 50% female",116,55,85,107,95,29
