Name,Type,Species,Height,Weight,Abilities,Catch rate,Base Friendship,Base Exp.,Growth Rate,Gender,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed
Venonat,Bug Poison,Insect Pokémon,1.0 m (3′03″),30.0 kg (66.1 lbs),1. Compound Eyes2. Tinted LensRun Away (hidden ability),"190 (24.8% with PokéBall, full HP)",50 (normal),61,Medium Fast,"50% male, 50% female",60,55,50,40,55,45
Venomoth,Bug Poison,Poison Moth Pokémon,1.5 m (4′11″),12.5 kg (27.6 lbs),1. Shield Dust2. Tinted LensWonder Skin (hidden ability),"75 (9.8% with PokéBall, full HP)",50 (normal),158,Medium Fast,"50% male, 50% female",70,65,60,90,75,90
Diglett,Ground Steel,Mole Pokémon,0.2 m (0′08″),1.0 kg (2.2 lbs),Sand Veil Tangling Hair Sand Force,"255 (33.3% with PokéBall, full HP)",50 (normal),53,Medium Fast,"50% male, 50% female",10,55,30,35,45,90
Dugtrio,Ground Steel,Mole Pokémon,0.7 m (2′04″),66.6 kg (146.8 lbs),Sand Veil Tangling Hair Sand Force,"50 (6.5% with PokéBall, full HP)",50 (normal),149,Medium Fast,"50% male, 50% female",35,100,60,50,70,110
Meowth,Steel,Scratch Cat Pokémon,0.4 m (1′04″),7.5 kg (16.5 lbs),Pickup Tough Claws Unnerve,"255 (33.3% with PokéBall, full HP)",50 (normal),58,Medium Fast,"50% male, 50% female",50,65,55,40,40,40
Persian,Dark,Classy Cat Pokémon,1.1 m (3′07″),33.0 kg (72.8 lbs),Fur Coat Technician Rattled,"90 (11.8% with PokéBall, full HP)",50 (normal),154,Medium Fast,"50% male, 50% female",65,60,60,75,65,115
Psyduck,Water,Duck Pokémon,0.8 m (2′07″),19.6 kg (43.2 lbs),1. Damp2. Cloud NineSwift Swim (hidden ability),"190 (24.8% with PokéBall, full HP)",50 (normal),64,Medium Fast,"50% male, 50% female",50,52,48,65,50,55
Golduck,Water,Duck Pokémon,1.7 m (5′07″),76.6 kg (168.9 lbs),1. Damp2. Cloud NineSwift Swim (hidden ability),"75 (9.8% with PokéBall, full HP)",50 (normal),175,Medium Fast,"50% male, 50% female",80,82,78,95,80,85
Mankey,Fighting,Pig Monkey Pokémon,0.5 m (1′08″),28.0 kg (61.7 lbs),1. Vital Spirit2. Anger PointDefiant (hidden ability),"190 (24.8% with PokéBall, full HP)",50 (normal),61,Medium Fast,"50% male, 50% female",40,80,35,35,45,70
Primeape,Fighting,Pig Monkey Pokémon,1.0 m (3′03″),32.0 kg (70.5 lbs),1. Vital Spirit2. Anger PointDefiant (hidden ability),"75 (9.8% with PokéBall, full HP)",50 (normal),159,Medium Fast,"50% male, 50% female",65,105,60,60,70,95
Growlithe,Fire Rock,Scout Pokémon,0.8 m (2′07″),22.7 kg (50.0 lbs),Intimidate Flash Fire Rock Head,"190 (24.8% with PokéBall, full HP)",50 (normal),70,Slow,"75% male, 25% female",60,75,45,65,50,55
Arcanine,Fire Rock,Legendary Pokémon,2.0 m (6′07″),168.0 kg (370.4 lbs),Intimidate Flash Fire Rock Head,"75 (9.8% with PokéBall, full HP)",50 (normal),194,Slow,"75% male, 25% female",95,115,80,95,80,90
Poliwag,Water,Tadpole Pokémon,0.6 m (2′00″),12.4 kg (27.3 lbs),1. Water Absorb2. DampSwift Swim (hidden ability),"255 (33.3% with PokéBall, full HP)",50 (normal),60,Medium Slow,"50% male, 50% female",40,50,40,40,40,90
Poliwhirl,Water,Tadpole Pokémon,1.0 m (3′03″),20.0 kg (44.1 lbs),1. Water Absorb2. DampSwift Swim (hidden ability),"120 (15.7% with PokéBall, full HP)",50 (normal),135,Medium Slow,"50% male, 50% female",65,65,65,50,50,90
Poliwrath,Water Fighting,Tadpole Pokémon,1.3 m (4′03″),54.0 kg (119.0 lbs),1. Water Absorb2. DampSwift Swim (hidden ability),"45 (5.9% with PokéBall, full HP)",50 (normal),230,Medium Slow,"50% male, 50% female",90,95,95,70,90,70
Abra,Psychic,Psi Pokémon,0.9 m (2′11″),19.5 kg (43.0 lbs),1. Synchronize2. Inner FocusMagic Guard (hidden ability),"200 (26.1% with PokéBall, full HP)",50 (normal),62,Medium Slow,"75% male, 25% female",25,20,15,105,55,90
Kadabra,Psychic,Psi Pokémon,1.3 m (4′03″),56.5 kg (124.6 lbs),1. Synchronize2. Inner FocusMagic Guard (hidden ability),"100 (13.1% with PokéBall, full HP)",50 (normal),140,Medium Slow,"75% male, 25% female",40,35,30,120,70,105
Alakazam,Psychic,Psi Pokémon,1.2 m (3′11″),48.0 kg (105.8 lbs),Trace,"50 (6.5% with PokéBall, full HP)",50 (normal),270,Medium Slow,"75% male, 25% female",55,50,65,175,105,150
Machop,Fighting,Superpower Pokémon,0.8 m (2′07″),19.5 kg (43.0 lbs),1. Guts2. No GuardSteadfast (hidden ability),"180 (23.5% with PokéBall, full HP)",50 (normal),61,Medium Slow,"75% male, 25% female",70,80,50,35,35,35
Machoke,Fighting,Superpower Pokémon,1.5 m (4′11″),70.5 kg (155.4 lbs),1. Guts2. No GuardSteadfast (hidden ability),"90 (11.8% with PokéBall, full HP)",50 (normal),142,Medium Slow,"75% male, 25% female",80,100,70,50,60,45
Machamp,Fighting,Superpower Pokémon,1.6 m (5′03″),130.0 kg (286.6 lbs),1. Guts2. No GuardSteadfast (hidden ability),"45 (5.9% with PokéBall, full HP)",50 (normal),227,Medium Slow,"75% male, 25% female",90,130,80,65,85,55
Bellsprout,Grass Poison,Flower Pokémon,0.7 m (2′04″),4.0 kg (8.8 lbs),1. ChlorophyllGluttony (hidden ability),"255 (33.3% with PokéBall, full HP)",50 (normal),60,Medium Slow,"50% male, 50% female",50,75,35,70,30,40
Weepinbell,Grass Poison,Flycatcher Pokémon,1.0 m (3′03″),6.4 kg (14.1 lbs),1. ChlorophyllGluttony (hidden ability),"120 (15.7% with PokéBall, full HP)",50 (normal),137,Medium Slow,"50% male, 50% female",65,90,50,85,45,55
Victreebel,Grass Poison,Flycatcher Pokémon,1.7 m (5′07″),15.5 kg (34.2 lbs),1. ChlorophyllGluttony (hidden ability),"45 (5.9% with PokéBall, full HP)",50 (normal),221,Medium Slow,"50% male, 50% female",80,105,65,100,70,70
Tentacool,Water Poison,Jellyfish Pokémon,0.9 m (2′11″),45.5 kg (100.3 lbs),1. Clear Body2. Liquid OozeRain Dish (hidden ability),"190 (24.8% with PokéBall, full HP)",50 (normal),67,Slow,"50% male, 50% female",40,40,35,50,100,70
Tentacruel,Water Poison,Jellyfish Pokémon,1.6 m (5′03″),55.0 kg (121.3 lbs),1. Clear Body2. Liquid OozeRain Dish (hidden ability),"60 (7.8% with PokéBall, full HP)",50 (normal),180,Slow,"50% male, 50% female",80,70,65,80,120,100
Geodude,Rock Electric,Rock Pokémon,0.4 m (1′04″),20.3 kg (44.8 lbs),Magnet Pull Sturdy Galvanize,"255 (33.3% with PokéBall, full HP)",50 (normal),60,Medium Slow,"50% male, 50% female",40,80,100,30,30,20
Graveler,Rock Electric,Rock Pokémon,1.0 m (3′03″),110.0 kg (242.5 lbs),Magnet Pull Sturdy Galvanize,"120 (15.7% with PokéBall, full HP)",50 (normal),137,Medium Slow,"50% male, 50% female",55,95,115,45,45,35
Golem,Rock Electric,Megaton Pokémon,1.7 m (5′07″),316.0 kg (696.7 lbs),Magnet Pull Sturdy Galvanize,"45 (5.9% with PokéBall, full HP)",50 (normal),223,Medium Slow,"50% male, 50% female",80,120,130,55,65,45
Ponyta,Psychic,Unique Horn Pokémon,0.8 m (2′07″),24.0 kg (52.9 lbs),Run Away Pastel Veil Anticipation,"190 (24.8% with PokéBall, full HP)",50 (normal),82,Medium Fast,"50% male, 50% female",50,85,55,65,65,90
Rapidash,Psychic Fairy,Unique Horn Pokémon,1.7 m (5′07″),80.0 kg (176.4 lbs),Run Away Pastel Veil Anticipation,"60 (7.8% with PokéBall, full HP)",50 (normal),175,Medium Fast,"50% male, 50% female",65,100,70,80,80,105
Slowpoke,Psychic,Dopey Pokémon,1.2 m (3′11″),36.0 kg (79.4 lbs),Gluttony Own Tempo Regenerator,"190 (24.8% with PokéBall, full HP)",50 (normal),63,Medium Fast,"50% male, 50% female",90,65,65,40,40,15
Slowbro,Poison Psychic,Hermit Crab Pokémon,1.6 m (5′03″),70.5 kg (155.4 lbs),Quick Draw Own Tempo Regenerator,"75 (9.8% with PokéBall, full HP)",50 (normal),172,Medium Fast,"50% male, 50% female",95,100,95,100,70,30
Magnemite,Electric Steel,Magnet Pokémon,0.3 m (1′00″),6.0 kg (13.2 lbs),1. Magnet Pull2. SturdyAnalytic (hidden ability),"190 (24.8% with PokéBall, full HP)",50 (normal),65,Medium Fast,Genderless,25,35,70,95,55,45
Magneton,Electric Steel,Magnet Pokémon,1.0 m (3′03″),60.0 kg (132.3 lbs),1. Magnet Pull2. SturdyAnalytic (hidden ability),"60 (7.8% with PokéBall, full HP)",50 (normal),163,Medium Fast,Genderless,50,60,95,120,70,70
Farfetch'd,Fighting,Wild Duck Pokémon,0.8 m (2′07″),42.0 kg (92.6 lbs),Steadfast Scrappy,"45 (5.9% with PokéBall, full HP)",50 (normal),132,Medium Fast,"50% male, 50% female",52,95,55,58,62,55
Doduo,Normal Flying,Twin Bird Pokémon,1.4 m (4′07″),39.2 kg (86.4 lbs),1. Run Away2. Early BirdTangled Feet (hidden ability),"190 (24.8% with PokéBall, full HP)",50 (normal),62,Medium Fast,"50% male, 50% female",35,85,45,35,35,75
Dodrio,Normal Flying,Triple Bird Pokémon,1.8 m (5′11″),85.2 kg (187.8 lbs),1. Run Away2. Early BirdTangled Feet (hidden ability),"45 (5.9% with PokéBall, full HP)",50 (normal),165,Medium Fast,"50% male, 50% female",60,110,70,60,60,110
Seel,Water,Sea Lion Pokémon,1.1 m (3′07″),90.0 kg (198.4 lbs),1. Thick Fat2. HydrationIce Body (hidden ability),"190 (24.8% with PokéBall, full HP)",50 (normal),65,Medium Fast,"50% male, 50% female",65,45,55,45,70,45
Dewgong,Water Ice,Sea Lion Pokémon,1.7 m (5′07″),120.0 kg (264.6 lbs),1. Thick Fat2. HydrationIce Body (hidden ability),"75 (9.8% with PokéBall, full HP)",50 (normal),166,Medium Fast,"50% male, 50% female",90,70,80,70,95,70
Grimer,Poison Dark,Sludge Pokémon,0.7 m (2′04″),42.0 kg (92.6 lbs),Poison Touch Gluttony Power of Alchemy,"190 (24.8% with PokéBall, full HP)",50 (normal),65,Medium Fast,"50% male, 50% female",80,80,50,40,50,25
Muk,Poison Dark,Sludge Pokémon,1.0 m (3′03″),52.0 kg (114.6 lbs),Poison Touch Gluttony Power of Alchemy,"75 (9.8% with PokéBall, full HP)",50 (normal),175,Medium Fast,"50% male, 50% female",105,105,75,65,100,50
Shellder,Water,Bivalve Pokémon,0.3 m (1′00″),4.0 kg (8.8 lbs),1. Shell Armor2. Skill LinkOvercoat (hidden ability),"190 (24.8% with PokéBall, full HP)",50 (normal),61,Slow,"50% male, 50% female",30,65,100,45,25,40
Cloyster,Water Ice,Bivalve Pokémon,1.5 m (4′11″),132.5 kg (292.1 lbs),1. Shell Armor2. Skill LinkOvercoat (hidden ability),"60 (7.8% with PokéBall, full HP)",50 (normal),184,Slow,"50% male, 50% female",50,95,180,85,45,70
Gastly,Ghost Poison,Gas Pokémon,1.3 m (4′03″),0.1 kg (0.2 lbs),1. Levitate,"190 (24.8% with PokéBall, full HP)",50 (normal),62,Medium Slow,"50% male, 50% female",30,35,30,100,35,80
Haunter,Ghost Poison,Gas Pokémon,1.6 m (5′03″),0.1 kg (0.2 lbs),1. Levitate,"90 (11.8% with PokéBall, full HP)",50 (normal),142,Medium Slow,"50% male, 50% female",45,50,45,115,55,95
Gengar,Ghost Poison,Shadow Pokémon,1.4 m (4′07″),40.5 kg (89.3 lbs),Shadow Tag,"45 (5.9% with PokéBall, full HP)",50 (normal),270,Medium Slow,"50% male, 50% female",60,65,80,170,95,130
Onix,Rock Ground,Rock Snake Pokémon,8.8 m (28′10″),210.0 kg (463.0 lbs),1. Rock Head2. SturdyWeak Armor (hidden ability),"45 (5.9% with PokéBall, full HP)",50 (normal),77,Medium Fast,"50% male, 50% female",35,45,160,30,45,70
Drowzee,Psychic,Hypnosis Pokémon,1.0 m (3′03″),32.4 kg (71.4 lbs),1. Insomnia2. ForewarnInner Focus (hidden ability),"190 (24.8% with PokéBall, full HP)",50 (normal),66,Medium Fast,"50% male, 50% female",60,48,45,43,90,42
Hypno,Psychic,Hypnosis Pokémon,1.6 m (5′03″),75.6 kg (166.7 lbs),1. Insomnia2. ForewarnInner Focus (hidden ability),"75 (9.8% with PokéBall, full HP)",50 (normal),169,Medium Fast,"50% male, 50% female",85,73,70,73,115,67
Krabby,Water,River Crab Pokémon,0.4 m (1′04″),6.5 kg (14.3 lbs),1. Hyper Cutter2. Shell ArmorSheer Force (hidden ability),"225 (29.4% with PokéBall, full HP)",50 (normal),65,Medium Fast,"50% male, 50% female",30,105,90,25,25,50
Kingler,Water,Pincer Pokémon,1.3 m (4′03″),60.0 kg (132.3 lbs),1. Hyper Cutter2. Shell ArmorSheer Force (hidden ability),"60 (7.8% with PokéBall, full HP)",50 (normal),166,Medium Fast,"50% male, 50% female",55,130,115,50,50,75
Voltorb,Electric Grass,Sphere Pokémon,0.5 m (1′08″),13.0 kg (28.7 lbs),Soundproof Static Aftermath,"190 (24.8% with PokéBall, full HP)",50 (normal),66,Medium Fast,Genderless,40,30,50,55,55,100
Electrode,Electric Grass,Sphere Pokémon,1.2 m (3′11″),71.0 kg (156.5 lbs),Soundproof Static Aftermath,"60 (7.8% with PokéBall, full HP)",50 (normal),172,Medium Fast,Genderless,60,50,70,80,80,150
Exeggcute,Grass Psychic,Egg Pokémon,0.4 m (1′04″),2.5 kg (5.5 lbs),1. ChlorophyllHarvest (hidden ability),"90 (11.8% with PokéBall, full HP)",50 (normal),65,Slow,"50% male, 50% female",60,40,80,60,45,40
Exeggutor,Grass Dragon,Coconut Pokémon,10.9 m (35′09″),415.6 kg (916.2 lbs),Frisk Harvest,"45 (5.9% with PokéBall, full HP)",50 (normal),186,Slow,"50% male, 50% female",95,105,85,125,75,45
Cubone,Ground,Lonely Pokémon,0.4 m (1′04″),6.5 kg (14.3 lbs),1. Rock Head2. Lightning RodBattle Armor (hidden ability),"190 (24.8% with PokéBall, full HP)",50 (normal),64,Medium Fast,"50% male, 50% female",50,50,95,40,50,35
Marowak,Fire Ghost,Bone Keeper Pokémon,1.0 m (3′03″),34.0 kg (75.0 lbs),Cursed Body Lightning Rod Rock Head,"75 (9.8% with PokéBall, full HP)",50 (normal),149,Medium Fast,"50% male, 50% female",60,80,110,50,80,45
Hitmonlee,Fighting,Kicking Pokémon,1.5 m (4′11″),49.8 kg (109.8 lbs),1. Limber2. RecklessUnburden (hidden ability),"45 (5.9% with PokéBall, full HP)",50 (normal),159,Medium Fast,"100% male, 0% female",50,120,53,35,110,87
