Name,Type,Species,Height,Weight,Abilities,Catch rate,Base Friendship,Base Exp.,Growth Rate,Gender,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed
Magby,Fire,Live Coal Pokémon,0.7 m (2′04″),21.4 kg (47.2 lbs),1. Flame BodyVital Spirit (hidden ability),"45 (5.9% with PokéBall, full HP)",50 (normal),73,Medium Fast,"75% male, 25% female",45,75,37,70,55,83
Miltank,Normal,Milk Cow Pokémon,1.2 m (3′11″),75.5 kg (166.4 lbs),1. Thick Fat2. ScrappySap Sipper (hidden ability),"45 (5.9% with PokéBall, full HP)",50 (normal),172,Slow,"0% male, 100% female",95,80,105,40,70,100
Blissey,Normal,Happiness Pokémon,1.5 m (4′11″),46.8 kg (103.2 lbs),1. Natural Cure2. Serene GraceHealer (hidden ability),"30 (3.9% with PokéBall, full HP)",140 (higher than normal),635,Fast,"0% male, 100% female",255,10,10,75,135,55
Raikou,Electric,Thunder Pokémon,1.9 m (6′03″),178.0 kg (392.4 lbs),1. PressureInner Focus (hidden ability),"3 (0.4% with PokéBall, full HP)",35 (lower than normal),261,Slow,Genderless,90,85,75,115,100,115
Entei,Fire,Volcano Pokémon,2.1 m (6′11″),198.0 kg (436.5 lbs),1. PressureInner Focus (hidden ability),"3 (0.4% with PokéBall, full HP)",35 (lower than normal),261,Slow,Genderless,115,115,85,90,75,100
Suicune,Water,Aurora Pokémon,2.0 m (6′07″),187.0 kg (412.3 lbs),1. PressureInner Focus (hidden ability),"3 (0.4% with PokéBall, full HP)",35 (lower than normal),261,Slow,Genderless,100,75,115,90,115,85
Larvitar,Rock Ground,Rock Skin Pokémon,0.6 m (2′00″),72.0 kg (158.7 lbs),1. GutsSand Veil (hidden ability),"45 (5.9% with PokéBall, full HP)",35 (lower than normal),60,Slow,"50% male, 50% female",50,64,50,45,50,41
Pupitar,Rock Ground,Hard Shell Pokémon,1.2 m (3′11″),152.0 kg (335.1 lbs),1. Shed Skin,"45 (5.9% with PokéBall, full HP)",35 (lower than normal),144,Slow,"50% male, 50% female",70,84,70,65,70,51
Tyranitar,Rock Dark,Armor Pokémon,2.5 m (8′02″),255.0 kg (562.2 lbs),Sand Stream,"45 (5.9% with PokéBall, full HP)",35 (lower than normal),315,Slow,"50% male, 50% female",100,164,150,95,120,71
Lugia,Psychic Flying,Diving Pokémon,5.2 m (17′01″),216.0 kg (476.2 lbs),1. PressureMultiscale (hidden ability),"3 (0.4% with PokéBall, full HP)",0 (lower than normal),306,Slow,Genderless,106,90,130,90,154,110
Ho-oh,Fire Flying,Rainbow Pokémon,3.8 m (12′06″),199.0 kg (438.7 lbs),1. PressureRegenerator (hidden ability),"3 (0.4% with PokéBall, full HP)",0 (lower than normal),306,Slow,Genderless,106,130,90,110,154,90
Celebi,Psychic Grass,Time Travel Pokémon,0.6 m (2′00″),5.0 kg (11.0 lbs),1. Natural Cure,"45 (5.9% with PokéBall, full HP)",100 (higher than normal),270,Medium Slow,Genderless,100,100,100,100,100,100
Treecko,Grass,Wood Gecko Pokémon,0.5 m (1′08″),5.0 kg (11.0 lbs),1. OvergrowUnburden (hidden ability),"45 (5.9% with PokéBall, full HP)",50 (normal),62,Medium Slow,"87.5% male, 12.5% female",40,45,35,65,55,70
Grovyle,Grass,Wood Gecko Pokémon,0.9 m (2′11″),21.6 kg (47.6 lbs),1. OvergrowUnburden (hidden ability),"45 (5.9% with PokéBall, full HP)",50 (normal),142,Medium Slow,"87.5% male, 12.5% female",50,65,45,85,65,95
Sceptile,Grass Dragon,Forest Pokémon,1.9 m (6′03″),55.2 kg (121.7 lbs),Lightning Rod,"45 (5.9% with PokéBall, full HP)",50 (normal),284,Medium Slow,"87.5% male, 12.5% female",70,110,75,145,85,145
Torchic,Fire,Chick Pokémon,0.4 m (1′04″),2.5 kg (5.5 lbs),1. BlazeSpeed Boost (hidden ability),"45 (5.9% with PokéBall, full HP)",50 (normal),62,Medium Slow,"87.5% male, 12.5% female",45,60,40,70,50,45
Combusken,Fire Fighting,Young Fowl Pokémon,0.9 m (2′11″),19.5 kg (43.0 lbs),1. BlazeSpeed Boost (hidden ability),"45 (5.9% with PokéBall, full HP)",50 (normal),142,Medium Slow,"87.5% male, 12.5% female",60,85,60,85,60,55
Blaziken,Fire Fighting,Blaze Pokémon,1.9 m (6′03″),52.0 kg (114.6 lbs),Speed Boost,"45 (5.9% with PokéBall, full HP)",50 (normal),284,Medium Slow,"87.5% male, 12.5% female",80,160,80,130,80,100
Mudkip,Water,Mud Fish Pokémon,0.4 m (1′04″),7.6 kg (16.8 lbs),1. TorrentDamp (hidden ability),"45 (5.9% with PokéBall, full HP)",50 (normal),62,Medium Slow,"87.5% male, 12.5% female",50,70,50,50,50,40
Marshtomp,Water Ground,Mud Fish Pokémon,0.7 m (2′04″),28.0 kg (61.7 lbs),1. TorrentDamp (hidden ability),"45 (5.9% with PokéBall, full HP)",50 (normal),142,Medium Slow,"87.5% male, 12.5% female",70,85,70,60,70,50
Swampert,Water Ground,Mud Fish Pokémon,1.9 m (6′03″),102.0 kg (224.9 lbs),Swift Swim,"45 (5.9% with PokéBall, full HP)",50 (normal),286,Medium Slow,"87.5% male, 12.5% female",100,150,110,95,110,70
Poochyena,Dark,Bite Pokémon,0.5 m (1′08″),13.6 kg (30.0 lbs),1. Run Away2. Quick FeetRattled (hidden ability),"255 (33.3% with PokéBall, full HP)",50 (normal),56,Medium Fast,"50% male, 50% female",35,55,35,30,30,35
Mightyena,Dark,Bite Pokémon,1.0 m (3′03″),37.0 kg (81.6 lbs),1. Intimidate2. Quick FeetMoxie (hidden ability),"127 (16.6% with PokéBall, full HP)",50 (normal),147,Medium Fast,"50% male, 50% female",70,90,70,60,60,70
Zigzagoon,Dark Normal,Tiny Raccoon Pokémon,0.4 m (1′04″),17.5 kg (38.6 lbs),Pickup Gluttony Quick Feet,"255 (33.3% with PokéBall, full HP)",50 (normal),56,Medium Fast,"50% male, 50% female",38,30,41,30,41,60
Linoone,Dark Normal,Rushing Pokémon,0.5 m (1′08″),32.5 kg (71.7 lbs),Pickup Gluttony Quick Feet,"90 (11.8% with PokéBall, full HP)",50 (normal),147,Medium Fast,"50% male, 50% female",78,70,61,50,61,100
Wurmple,Bug,Worm Pokémon,0.3 m (1′00″),3.6 kg (7.9 lbs),1. Shield DustRun Away (hidden ability),"255 (33.3% with PokéBall, full HP)",50 (normal),56,Medium Fast,"50% male, 50% female",45,45,35,20,30,20
Silcoon,Bug,Cocoon Pokémon,0.6 m (2′00″),10.0 kg (22.0 lbs),1. Shed Skin,"120 (15.7% with PokéBall, full HP)",50 (normal),72,Medium Fast,"50% male, 50% female",50,35,55,25,25,15
Beautifly,Bug Flying,Butterfly Pokémon,1.0 m (3′03″),28.4 kg (62.6 lbs),1. SwarmRivalry (hidden ability),"45 (5.9% with PokéBall, full HP)",50 (normal),178,Medium Fast,"50% male, 50% female",60,70,50,100,50,65
Cascoon,Bug,Cocoon Pokémon,0.7 m (2′04″),11.5 kg (25.4 lbs),1. Shed Skin,"120 (15.7% with PokéBall, full HP)",50 (normal),72,Medium Fast,"50% male, 50% female",50,35,55,25,25,15
Dustox,Bug Poison,Poison Moth Pokémon,1.2 m (3′11″),31.6 kg (69.7 lbs),1. Shield DustCompound Eyes (hidden ability),"45 (5.9% with PokéBall, full HP)",50 (normal),173,Medium Fast,"50% male, 50% female",60,50,70,50,90,65
Lotad,Water Grass,Water Weed Pokémon,0.5 m (1′08″),2.6 kg (5.7 lbs),1. Swift Swim2. Rain DishOwn Tempo (hidden ability),"255 (33.3% with PokéBall, full HP)",50 (normal),44,Medium Slow,"50% male, 50% female",40,30,30,40,50,30
Lombre,Water Grass,Jolly Pokémon,1.2 m (3′11″),32.5 kg (71.7 lbs),1. Swift Swim2. Rain DishOwn Tempo (hidden ability),"120 (15.7% with PokéBall, full HP)",50 (normal),119,Medium Slow,"50% male, 50% female",60,50,50,60,70,50
Ludicolo,Water Grass,Carefree Pokémon,1.5 m (4′11″),55.0 kg (121.3 lbs),1. Swift Swim2. Rain DishOwn Tempo (hidden ability),"45 (5.9% with PokéBall, full HP)",50 (normal),216,Medium Slow,"50% male, 50% female",80,70,70,90,100,70
Seedot,Grass,Acorn Pokémon,0.5 m (1′08″),4.0 kg (8.8 lbs),1. Chlorophyll2. Early BirdPickpocket (hidden ability),"255 (33.3% with PokéBall, full HP)",50 (normal),44,Medium Slow,"50% male, 50% female",40,40,50,30,30,30
Nuzleaf,Grass Dark,Wily Pokémon,1.0 m (3′03″),28.0 kg (61.7 lbs),1. Chlorophyll2. Early BirdPickpocket (hidden ability),"120 (15.7% with PokéBall, full HP)",50 (normal),119,Medium Slow,"50% male, 50% female",70,70,40,60,40,60
Shiftry,Grass Dark,Wicked Pokémon,1.3 m (4′03″),59.6 kg (131.4 lbs),1. Chlorophyll2. Early BirdPickpocket (hidden ability),"45 (5.9% with PokéBall, full HP)",50 (normal),216,Medium Slow,"50% male, 50% female",90,100,60,90,60,80
Taillow,Normal Flying,TinySwallow Pokémon,0.3 m (1′00″),2.3 kg (5.1 lbs),1. GutsScrappy (hidden ability),"200 (26.1% with PokéBall, full HP)",50 (normal),54,Medium Slow,"50% male, 50% female",40,55,30,30,30,85
Swellow,Normal Flying,Swallow Pokémon,0.7 m (2′04″),19.8 kg (43.7 lbs),1. GutsScrappy (hidden ability),"45 (5.9% with PokéBall, full HP)",50 (normal),159,Medium Slow,"50% male, 50% female",60,85,60,75,50,125
Wingull,Water Flying,Seagull Pokémon,0.6 m (2′00″),9.5 kg (20.9 lbs),1. Keen Eye2. HydrationRain Dish (hidden ability),"190 (24.8% with PokéBall, full HP)",50 (normal),54,Medium Fast,"50% male, 50% female",40,30,30,55,30,85
Pelipper,Water Flying,Water Bird Pokémon,1.2 m (3′11″),28.0 kg (61.7 lbs),1. Keen Eye2. DrizzleRain Dish (hidden ability),"45 (5.9% with PokéBall, full HP)",50 (normal),154,Medium Fast,"50% male, 50% female",60,50,100,95,70,65
Ralts,Psychic Fairy,Feeling Pokémon,0.4 m (1′04″),6.6 kg (14.6 lbs),1. Synchronize2. TraceTelepathy (hidden ability),"235 (30.7% with PokéBall, full HP)",35 (lower than normal),40,Slow,"50% male, 50% female",28,25,25,45,35,40
Kirlia,Psychic Fairy,Emotion Pokémon,0.8 m (2′07″),20.2 kg (44.5 lbs),1. Synchronize2. TraceTelepathy (hidden ability),"120 (15.7% with PokéBall, full HP)",35 (lower than normal),97,Slow,"50% male, 50% female",38,35,35,65,55,50
Gardevoir,Psychic Fairy,Embrace Pokémon,1.6 m (5′03″),48.4 kg (106.7 lbs),Pixilate,"45 (5.9% with PokéBall, full HP)",35 (lower than normal),278,Slow,"50% male, 50% female",68,85,65,165,135,100
Surskit,Bug Water,Pond Skater Pokémon,0.5 m (1′08″),1.7 kg (3.7 lbs),1. Swift SwimRain Dish (hidden ability),"200 (26.1% with PokéBall, full HP)",50 (normal),54,Medium Fast,"50% male, 50% female",40,30,32,50,52,65
Masquerain,Bug Flying,Eyeball Pokémon,0.8 m (2′07″),3.6 kg (7.9 lbs),1. IntimidateUnnerve (hidden ability),"75 (9.8% with PokéBall, full HP)",50 (normal),159,Medium Fast,"50% male, 50% female",70,60,62,100,82,80
Shroomish,Grass,Mushroom Pokémon,0.4 m (1′04″),4.5 kg (9.9 lbs),1. Effect Spore2. Poison HealQuick Feet (hidden ability),"255 (33.3% with PokéBall, full HP)",50 (normal),59,Fluctuating,"50% male, 50% female",60,40,60,40,60,35
Breloom,Grass Fighting,Mushroom Pokémon,1.2 m (3′11″),39.2 kg (86.4 lbs),1. Effect Spore2. Poison HealTechnician (hidden ability),"90 (11.8% with PokéBall, full HP)",50 (normal),161,Fluctuating,"50% male, 50% female",60,130,80,60,60,70
Slakoth,Normal,Slacker Pokémon,0.8 m (2′07″),24.0 kg (52.9 lbs),1. Truant,"255 (33.3% with PokéBall, full HP)",50 (normal),56,Slow,"50% male, 50% female",60,60,60,35,35,30
Vigoroth,Normal,Wild Monkey Pokémon,1.4 m (4′07″),46.5 kg (102.5 lbs),1. Vital Spirit,"120 (15.7% with PokéBall, full HP)",50 (normal),154,Slow,"50% male, 50% female",80,80,80,55,55,90
Slaking,Normal,Lazy Pokémon,2.0 m (6′07″),130.5 kg (287.7 lbs),1. Truant,"45 (5.9% with PokéBall, full HP)",50 (normal),285,Slow,"50% male, 50% female",150,160,100,95,65,100
Nincada,Bug Ground,Trainee Pokémon,0.5 m (1′08″),5.5 kg (12.1 lbs),1. Compound EyesRun Away (hidden ability),"255 (33.3% with PokéBall, full HP)",50 (normal),53,Erratic,"50% male, 50% female",31,45,90,30,30,40
Ninjask,Bug Flying,Ninja Pokémon,0.8 m (2′07″),12.0 kg (26.5 lbs),1. Speed BoostInfiltrator (hidden ability),"120 (15.7% with PokéBall, full HP)",50 (normal),160,Erratic,"50% male, 50% female",61,90,45,50,50,160
Shedinja,Bug Ghost,Shed Pokémon,0.8 m (2′07″),1.2 kg (2.6 lbs),1. Wonder Guard,"45 (5.9% with PokéBall, full HP)",50 (normal),83,Erratic,Genderless,1,90,45,30,30,40
Whismur,Normal,Whisper Pokémon,0.6 m (2′00″),16.3 kg (35.9 lbs),1. SoundproofRattled (hidden ability),"190 (24.8% with PokéBall, full HP)",50 (normal),48,Medium Slow,"50% male, 50% female",64,51,23,51,23,28
Loudred,Normal,Big Voice Pokémon,1.0 m (3′03″),40.5 kg (89.3 lbs),1. SoundproofScrappy (hidden ability),"120 (15.7% with PokéBall, full HP)",50 (normal),126,Medium Slow,"50% male, 50% female",84,71,43,71,43,48
Exploud,Normal,Loud Noise Pokémon,1.5 m (4′11″),84.0 kg (185.2 lbs),1. SoundproofScrappy (hidden ability),"45 (5.9% with PokéBall, full HP)",50 (normal),221,Medium Slow,"50% male, 50% female",104,91,63,91,73,68
Makuhita,Fighting,Guts Pokémon,1.0 m (3′03″),86.4 kg (190.5 lbs),1. Thick Fat2. GutsSheer Force (hidden ability),"180 (23.5% with PokéBall, full HP)",50 (normal),47,Fluctuating,"75% male, 25% female",72,60,30,20,30,25
Hariyama,Fighting,Arm Thrust Pokémon,2.3 m (7′07″),253.8 kg (559.5 lbs),1. Thick Fat2. GutsSheer Force (hidden ability),"200 (26.1% with PokéBall, full HP)",50 (normal),166,Fluctuating,"75% male, 25% female",144,120,60,40,60,50
Azurill,Normal Fairy,Polka Dot Pokémon,0.2 m (0′08″),2.0 kg (4.4 lbs),1. Thick Fat2. Huge PowerSap Sipper (hidden ability),"150 (19.6% with PokéBall, full HP)",50 (normal),38,Fast,"25% male, 75% female",50,20,40,20,40,20
Nosepass,Rock,Compass Pokémon,1.0 m (3′03″),97.0 kg (213.8 lbs),1. Sturdy2. Magnet PullSand Force (hidden ability),"255 (33.3% with PokéBall, full HP)",50 (normal),75,Medium Fast,"50% male, 50% female",30,45,135,45,90,30
Skitty,Normal,Kitten Pokémon,0.6 m (2′00″),11.0 kg (24.3 lbs),1. Cute Charm2. NormalizeWonder Skin (hidden ability),"255 (33.3% with PokéBall, full HP)",50 (normal),52,Fast,"25% male, 75% female",50,45,45,35,35,50
Delcatty,Normal,Prim Pokémon,1.1 m (3′07″),32.6 kg (71.9 lbs),1. Cute Charm2. NormalizeWonder Skin (hidden ability),"60 (7.8% with PokéBall, full HP)",50 (normal),140,Fast,"25% male, 75% female",70,65,65,55,55,90
Sableye,Dark Ghost,Darkness Pokémon,0.5 m (1′08″),161.0 kg (354.9 lbs),Magic Bounce,"45 (5.9% with PokéBall, full HP)",35 (lower than normal),168,Medium Slow,"50% male, 50% female",50,85,125,85,115,20
Mawile,Steel Fairy,Deceiver Pokémon,1.0 m (3′03″),23.5 kg (51.8 lbs),Huge Power,"45 (5.9% with PokéBall, full HP)",50 (normal),168,Fast,"50% male, 50% female",50,105,125,55,95,50
Aron,Steel Rock,Iron Armor Pokémon,0.4 m (1′04″),60.0 kg (132.3 lbs),1. Sturdy2. Rock HeadHeavy Metal (hidden ability),"180 (23.5% with PokéBall, full HP)",35 (lower than normal),66,Slow,"50% male, 50% female",50,70,100,40,40,30
Lairon,Steel Rock,Iron Armor Pokémon,0.9 m (2′11″),120.0 kg (264.6 lbs),1. Sturdy2. Rock HeadHeavy Metal (hidden ability),"90 (11.8% with PokéBall, full HP)",35 (lower than normal),151,Slow,"50% male, 50% female",60,90,140,50,50,40
Aggron,Steel,Iron Armor Pokémon,2.2 m (7′03″),395.0 kg (870.8 lbs),Filter,"45 (5.9% with PokéBall, full HP)",35 (lower than normal),284,Slow,"50% male, 50% female",70,140,230,60,80,50
Meditite,Fighting Psychic,Meditate Pokémon,0.6 m (2′00″),11.2 kg (24.7 lbs),1. Pure PowerTelepathy (hidden ability),"180 (23.5% with PokéBall, full HP)",50 (normal),56,Medium Fast,"50% male, 50% female",30,40,55,40,55,60
Medicham,Fighting Psychic,Meditate Pokémon,1.3 m (4′03″),31.5 kg (69.4 lbs),Pure Power,"90 (11.8% with PokéBall, full HP)",50 (normal),179,Medium Fast,"50% male, 50% female",60,100,85,80,85,100
Electrike,Electric,Lightning Pokémon,0.6 m (2′00″),15.2 kg (33.5 lbs),1. Static2. Lightning RodMinus (hidden ability),"120 (15.7% with PokéBall, full HP)",50 (normal),59,Slow,"50% male, 50% female",40,45,40,65,40,65
Manectric,Electric,Discharge Pokémon,1.8 m (5′11″),44.0 kg (97.0 lbs),Intimidate,"45 (5.9% with PokéBall, full HP)",50 (normal),201,Slow,"50% male, 50% female",70,75,80,135,80,135
Plusle,Electric,Cheering Pokémon,0.4 m (1′04″),4.2 kg (9.3 lbs),1. PlusLightning Rod (hidden ability),"200 (26.1% with PokéBall, full HP)",50 (normal),142,Medium Fast,"50% male, 50% female",60,50,40,85,75,95
Minun,Electric,Cheering Pokémon,0.4 m (1′04″),4.2 kg (9.3 lbs),1. MinusVolt Absorb (hidden ability),"200 (26.1% with PokéBall, full HP)",50 (normal),142,Medium Fast,"50% male, 50% female",60,40,50,75,85,95
Volbeat,Bug,Firefly Pokémon,0.7 m (2′04″),17.7 kg (39.0 lbs),1. Illuminate2. SwarmPrankster (hidden ability),"150 (19.6% with PokéBall, full HP)",50 (normal),151,Erratic,"100% male, 0% female",65,73,75,47,85,85
Illumise,Bug,Firefly Pokémon,0.6 m (2′00″),17.7 kg (39.0 lbs),1. Oblivious2. Tinted LensPrankster (hidden ability),"150 (19.6% with PokéBall, full HP)",50 (normal),151,Fluctuating,"0% male, 100% female",65,47,75,73,85,85
Roselia,Grass Poison,Thorn Pokémon,0.3 m (1′00″),2.0 kg (4.4 lbs),1. Natural Cure2. Poison PointLeaf Guard (hidden ability),"150 (19.6% with PokéBall, full HP)",50 (normal),140,Medium Slow,"50% male, 50% female",50,60,45,100,80,65
Gulpin,Poison,Stomach Pokémon,0.4 m (1′04″),10.3 kg (22.7 lbs),1. Liquid Ooze2. Sticky HoldGluttony (hidden ability),"225 (29.4% with PokéBall, full HP)",50 (normal),60,Fluctuating,"50% male, 50% female",70,43,53,43,53,40
Swalot,Poison,Poison Bag Pokémon,1.7 m (5′07″),80.0 kg (176.4 lbs),1. Liquid Ooze2. Sticky HoldGluttony (hidden ability),"75 (9.8% with PokéBall, full HP)",50 (normal),163,Fluctuating,"50% male, 50% female",100,73,83,73,83,55
